aerosol_total_aod,albedo_o2_fph,albedo_slope_o2,albedo_slope_strong_co2,albedo_slope_weak_co2,albedo_strong_co2_fph,albedo_weak_co2_fph,StartOrbitNumber,albedo_o2_abp_0,albedo_o2_abp_1,co2_ratio_idp,dispersion_multiplier_abp,fluorescence_offset_relative_757nm_idp,fluorescence_offset_relative_771nm_idp,h2o_ratio_idp,o2_ratio_idp,reduced_chi_squared_o2_abp,snr_o2_abp,surface_pressure_delta_abp,surface_pressure_offset_abp,temperature_offset_abp,retrieval_altitude,retrieval_aspect,retrieval_azimuth,retrieval_latitude,retrieval_longitude,retrieval_overlap,retrieval_overlap_o2_weak_co2,retrieval_overlap_strong_co2_o2,retrieval_overlap_weak_co2_strong_co2,retrieval_polarization_angle,retrieval_slope,retrieval_solar_azimuth,retrieval_solar_relative_velocity,retrieval_solar_zenith,retrieval_surface_roughness
0.323157,0.270474,-2.40E-05,-1.98E-05,-7.88E-05,0.280891,0.319442,991,0.260492,0.263313,1.0246,0.999993612,-0.000549316,0.0196533,1.04773,1.06476,38.2028,535.878,-333.362,-500,1.75652,251.459,131.666,34.0914,32.1964,70.3978,94.5598,78.5746,81.7504,79.7382,359.294,0.184445,214.845,-329.397,31.0176,2.66604
0.308448,0.251694,-3.11E-05,-8.89E-05,-9.32E-05,0.157936,0.226065,991,0.240738,0.246568,1.03741,0.999993226,0.0111694,0.013855,1.10132,1.05798,30.3681,573.751,-565.111,-500,2.14523,263.657,156.63,34.6071,32.2253,70.3685,97.6302,81.4074,82.0955,84.3192,359.805,0.167734,214.77,-329.616,31.0277,2.48403
0.267489,0.237638,-1.64E-05,2.60E-05,-6.77E-05,0.241629,0.271366,991,0.229632,0.229875,1.02673,0.999993468,-0.00299072,0.00726318,1.04193,1.04578,27.2271,565.811,-725.537,-500,1.89808,336.062,179.352,35.9367,32.2723,70.3059,94.638,81.9547,84.3599,88.886,1.08339,0.971309,214.621,-330.078,31.0366,10.8675
0.306984,0.257555,-2.98E-05,6.61E-05,-6.46E-05,0.173021,0.240089,991,0.246377,0.251375,1.02966,0.999993233,0.00305176,0.0128174,1.07324,1.10303,32.7533,579.82,-537.355,-500,1.92004,273.821,183.832,34.5825,32.2437,70.3628,97.5034,81.5173,82.2375,84.4825,359.805,0.477942,214.745,-329.668,31.0408,5.42014
0.310607,0.256568,-2.20E-05,-4.12E-05,-0.000103654,0.217649,0.274907,991,0.248005,0.249696,1.0224,0.999993538,0.00274658,0.015564,1.05298,1.08667,29.0156,522.622,-523.779,-500,1.54782,265.639,145.398,34.0426,32.2333,70.3864,94.6383,78.6719,81.8182,79.8077,359.295,0.22209,214.795,-329.5,31.0437,2.87717
0.321007,0.234473,-1.47E-05,1.82E-05,-4.65E-05,0.240108,0.275907,991,0.229503,0.228412,1.02722,0.999993486,-0.00012207,0.00762939,1.03406,1.09167,27.427,550.05,-608.895,-500,2.08471,295.013,111.53,34.2622,32.2754,70.3633,96.95,81.8229,82.7302,82.9012,359.549,0.645811,214.721,-329.686,31.0684,5.87938
0.226241,0.213338,-1.76E-05,1.14E-05,-5.58E-05,0.234308,0.263189,991,0.20998,0.210052,1.02441,0.999993283,0.000244141,0.0148315,1.03735,1.10522,27.5831,560.465,-833.785,-500,2.54162,364.086,101.199,35.0465,32.3103,70.3229,97.4907,86.0376,86.3778,88.8255,0.312679,1.23523,214.622,-329.986,31.0783,11.3074
0.227567,0.199328,-1.94E-05,6.32E-05,-8.84E-05,0.207158,0.237729,991,0.195518,0.195705,1.03021,0.99999343,0,0.015625,1.03033,1.05005,25.1542,522.676,-429.089,-500,1.50867,582.11,335.657,35.8075,32.3651,70.2779,94.6017,81.3317,83.8684,88.2261,1.07777,5.32496,214.498,-330.332,31.1029,63.4529
0.203857,0.253126,-1.71E-05,3.60E-05,-3.14E-05,0.288754,0.311742,991,0.247806,0.245586,1.01886,0.9999935,0.0146484,0.0122681,1.02655,1.14539,23.7651,521.734,-796.685,-500,2.29022,329.134,141.167,33.9168,32.3256,70.3581,94.6103,78.5293,81.6947,79.6414,359.293,0.857514,214.672,-329.755,31.1093,9.91428
0.315863,0.157618,-1.45E-05,5.12E-06,-6.69E-05,0.115134,0.169793,991,0.1589,0.158698,1.03687,0.999993543,0.00524902,0.0217285,1.09448,1.06104,26.4436,486.338,-520.261,-500,1.15308,945.851,90.1458,35.4084,32.452,70.2613,92.8853,81.9732,84.7226,89.6832,0.81816,5.55304,214.401,-330.504,31.17,42.3929
0.146571,0.171992,-9.79E-06,1.60E-05,-7.19E-05,0.191586,0.226454,991,0.170258,0.169947,1.01855,0.999993545,0.0149536,0.00579834,1.02808,1.02197,23.4939,495.911,-1281.79,-500,1.957,722.363,219.916,34.5473,32.4712,70.2838,98.0392,85.3124,85.6795,87.5502,0.0507678,4.84534,214.426,-330.361,31.1981,42.2662
0.209466,0.172601,-1.38E-05,7.75E-06,-7.72E-05,0.188444,0.229178,991,0.170443,0.171981,1.02014,0.999993475,-0.000427246,0.0171509,1.03711,1.07489,21.4952,496.555,-679.946,-500,1.20409,932.717,270.906,34.4951,32.5082,70.2726,97.6113,84.1051,84.5496,86.8236,0.0490724,4.7331,214.378,-330.463,31.2246,47.7872
0.316463,0.166638,-1.02E-05,8.12E-05,-5.32E-05,0.168849,0.211323,991,0.165938,0.166115,1.02698,0.9999932,0.00939941,0.00634766,1.06281,1.04559,20.3311,476.072,-1172.64,-500,1.3706,872.64,108.345,34.2263,32.503,70.2845,97.5938,81.9829,82.7954,84.9742,359.795,7.23587,214.402,-330.378,31.2261,82.8103
0.198243,0.172232,-1.39E-05,6.64E-06,-7.86E-05,0.177621,0.218643,991,0.170443,0.169948,1.01917,0.999993468,0.00921631,0.0131226,1.02704,1.15948,19.269,433.21,-1705.59,-500,2.00213,673.967,112.948,33.6892,32.4917,70.3074,94.3186,77.7882,80.9581,79.0363,359.288,5.62974,214.452,-330.213,31.2278,59.9672
0.317672,0.181547,7.68E-06,9.00E-05,-4.82E-06,0.175822,0.219604,991,0.181981,0.176292,1.02234,0.999993525,-0.00543213,0.0108032,1.04071,1.24396,22.1343,447.333,-779.966,-500,0.669315,969.722,173.207,33.6145,32.5478,70.291,94.5875,79.232,82.5765,80.4161,359.289,2.15552,214.379,-330.364,31.2683,44.0191
